id,category,input,output,source_type
SFT-B1-001,Alert Classification,Analyze this alert: A user account had 25 failed login attempts followed by one successful login from an unfamiliar country.,"Classification: Possible credential attack or account compromise
Severity: High
MITRE ATT&CK Mapping: Brute Force and/or Valid Accounts if supported by authentication logs
Reasoning: Repeated failures followed by a success from a new geography suggests password guessing or use of compromised credentials.
Recommended Actions: Verify user travel, review MFA events, check IP reputation, revoke suspicious sessions, reset credentials if compromise is likely, and inspect mailbox or application activity.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-002,Alert Classification,Analyze this alert: An endpoint generated an alert for PowerShell launching with encoded command arguments after a user opened an email attachment.,"Classification: Suspicious script execution
Severity: High
MITRE ATT&CK Mapping: Command and Scripting Interpreter: PowerShell; possible Phishing if email delivery is confirmed
Reasoning: Encoded PowerShell after an attachment open is commonly associated with malicious script execution or initial access activity.
Recommended Actions: Collect command line, parent process, attachment hash, EDR telemetry, and network connections; isolate the host if active compromise is suspected.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-003,Alert Classification,Analyze this alert: A workstation connected to a domain categorized as newly registered and then downloaded an executable file.,"Classification: Possible malware download
Severity: High
MITRE ATT&CK Mapping: Ingress Tool Transfer if the download is confirmed malicious
Reasoning: Newly registered domains and executable downloads are suspicious when not tied to approved business activity.
Recommended Actions: Check domain reputation, hash the file, block the domain if malicious, quarantine the file, and review process execution.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-004,Alert Classification,Analyze this alert: An administrator account logged in successfully at 3:14 AM from an IP address not seen before for that user.,"Classification: Suspicious privileged account login
Severity: High
MITRE ATT&CK Mapping: Valid Accounts if unauthorized access is confirmed
Reasoning: Privileged logins from new infrastructure outside normal working patterns can indicate compromised credentials.
Recommended Actions: Verify with the administrator, check MFA, review privileged actions, examine source IP, and revoke sessions if suspicious.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-005,Alert Classification,Analyze this alert: A host attempted outbound connections to many internal systems over SMB within five minutes.,"Classification: Possible lateral movement or internal scanning
Severity: High
MITRE ATT&CK Mapping: Remote Services or Network Service Discovery depending on supporting evidence
Reasoning: Rapid SMB connections to many internal systems may indicate lateral movement, worm-like activity, or discovery behavior.
Recommended Actions: Identify the source process, isolate if needed, review authentication events, inspect destination logs, and check for malware indicators.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-006,Alert Classification,Analyze this alert: A cloud storage bucket policy was changed from private to public by a developer account.,"Classification: Potential cloud exposure or misconfiguration
Severity: High
MITRE ATT&CK Mapping: Not enough evidence for an ATT&CK mapping without additional activity
Reasoning: Changing a storage bucket to public can expose sensitive data and may be accidental or malicious.
Recommended Actions: Revert exposure if unauthorized, review object access logs, validate business justification, and check for unusual downloads.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-007,Alert Classification,Analyze this alert: An EDR alert shows rundll32.exe loading a DLL from a user temporary directory.,"Classification: Suspicious DLL execution
Severity: High
MITRE ATT&CK Mapping: System Binary Proxy Execution: Rundll32 if confirmed
Reasoning: Rundll32 executing a DLL from a user temp directory is unusual and can indicate proxy execution.
Recommended Actions: Collect the DLL hash, analyze parent process, review command line, quarantine the file, and investigate related persistence.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-008,Alert Classification,"Analyze this alert: A user reported a login approval prompt they did not initiate, followed by a successful VPN login.","Classification: Possible MFA fatigue or account compromise
Severity: High
MITRE ATT&CK Mapping: Valid Accounts; MFA request generation if supported by logs
Reasoning: Unsolicited MFA prompts followed by a successful login can indicate an attacker pressured the user into approving access.
Recommended Actions: Disable or reset the account, revoke sessions, review VPN logs, educate the user, and enforce number matching if available.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-009,Alert Classification,Analyze this alert: A server began sending a high volume of outbound SMTP traffic even though it is not an email server.,"Classification: Possible spam relay or compromised host
Severity: High
MITRE ATT&CK Mapping: Exfiltration or Command and Control mapping requires more evidence
Reasoning: Unexpected SMTP traffic from a non-mail server suggests compromise, spam activity, or misconfiguration.
Recommended Actions: Block outbound SMTP if not needed, identify the sending process, inspect mail queue, check host integrity, and review firewall logs.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-010,Alert Classification,Analyze this alert: A SIEM alert shows a normal user added themselves to a privileged group.,"Classification: Privilege escalation or unauthorized group modification
Severity: Critical
MITRE ATT&CK Mapping: Account Manipulation if unauthorized
Reasoning: A non-admin user adding themselves to a privileged group is a strong indicator of unauthorized privilege escalation.
Recommended Actions: Remove unauthorized privileges, disable the account if suspicious, review group modification logs, and investigate preceding authentication activity.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
