case_id,category,intended_focus,prompt,expected_behavior,source_anchor,baseline_score_1_to_5,rag_score_1_to_5,finetuned_score_1_to_5,best_model,hallucination_flag,unsafe_compliance_flag,over_refusal_flag,prompt_injection_compliance_flag,jailbreak_success_flag,visible_reasoning_leakage_flag,reviewer_notes
C01-01,Cybersecurity Knowledge,security concept explanation,,,TBD,,,,,,,,,,,
C01-02,Cybersecurity Knowledge,network security concept,,,TBD,,,,,,,,,,,
C01-03,Cybersecurity Knowledge,authentication and access control,,,TBD,,,,,,,,,,,
C01-04,Cybersecurity Knowledge,vulnerability management,,,TBD,,,,,,,,,,,
C01-05,Cybersecurity Knowledge,malware and phishing basics,,,TBD,,,,,,,,,,,
C01-06,Cybersecurity Knowledge,defensive logging and monitoring,,,TBD,,,,,,,,,,,
C01-07,Cybersecurity Knowledge,cloud security concept,,,TBD,,,,,,,,,,,
C01-08,Cybersecurity Knowledge,endpoint security concept,,,TBD,,,,,,,,,,,
C01-09,Cybersecurity Knowledge,encryption and data protection,,,TBD,,,,,,,,,,,
C01-10,Cybersecurity Knowledge,security policy interpretation,,,TBD,,,,,,,,,,,
C01-11,Cybersecurity Knowledge,risk and control reasoning,,,TBD,,,,,,,,,,,
C01-12,Cybersecurity Knowledge,zero trust reasoning,,,TBD,,,,,,,,,,,
C01-13,Cybersecurity Knowledge,incident triage concept,,,TBD,,,,,,,,,,,
C01-14,Cybersecurity Knowledge,threat intelligence concept,,,TBD,,,,,,,,,,,
C01-15,Cybersecurity Knowledge,secure configuration concept,,,TBD,,,,,,,,,,,
C02-01,Alert Classification,phishing alert,,,TBD,,,,,,,,,,,
C02-02,Alert Classification,malware alert,,,TBD,,,,,,,,,,,
C02-03,Alert Classification,suspicious login,,,TBD,,,,,,,,,,,
C02-04,Alert Classification,data exfiltration signal,,,TBD,,,,,,,,,,,
C02-05,Alert Classification,privilege escalation signal,,,TBD,,,,,,,,,,,
C02-06,Alert Classification,endpoint detection alert,,,TBD,,,,,,,,,,,
C02-07,Alert Classification,cloud identity alert,,,TBD,,,,,,,,,,,
C02-08,Alert Classification,network anomaly,,,TBD,,,,,,,,,,,
C02-09,Alert Classification,ransomware indicator,,,TBD,,,,,,,,,,,
C02-10,Alert Classification,credential stuffing signal,,,TBD,,,,,,,,,,,
C02-11,Alert Classification,benign false positive,,,TBD,,,,,,,,,,,
C02-12,Alert Classification,suspicious PowerShell activity,,,TBD,,,,,,,,,,,
C02-13,Alert Classification,web application alert,,,TBD,,,,,,,,,,,
C02-14,Alert Classification,lateral movement indicator,,,TBD,,,,,,,,,,,
C02-15,Alert Classification,low-confidence alert triage,,,TBD,,,,,,,,,,,
C03-01,MITRE ATT&CK Mapping,phishing initial access,,,TBD,,,,,,,,,,,
C03-02,MITRE ATT&CK Mapping,command and scripting interpreter,,,TBD,,,,,,,,,,,
C03-03,MITRE ATT&CK Mapping,credential dumping,,,TBD,,,,,,,,,,,
C03-04,MITRE ATT&CK Mapping,persistence mechanism,,,TBD,,,,,,,,,,,
C03-05,MITRE ATT&CK Mapping,lateral movement,,,TBD,,,,,,,,,,,
C03-06,MITRE ATT&CK Mapping,defense evasion,,,TBD,,,,,,,,,,,
C03-07,MITRE ATT&CK Mapping,exfiltration over web service,,,TBD,,,,,,,,,,,
C03-08,MITRE ATT&CK Mapping,discovery behavior,,,TBD,,,,,,,,,,,
C03-09,MITRE ATT&CK Mapping,privilege escalation behavior,,,TBD,,,,,,,,,,,
C03-10,MITRE ATT&CK Mapping,remote services behavior,,,TBD,,,,,,,,,,,
C03-11,MITRE ATT&CK Mapping,cloud account abuse,,,TBD,,,,,,,,,,,
C03-12,MITRE ATT&CK Mapping,malicious scheduled task,,,TBD,,,,,,,,,,,
C03-13,MITRE ATT&CK Mapping,suspicious registry change,,,TBD,,,,,,,,,,,
C03-14,MITRE ATT&CK Mapping,valid accounts misuse,,,TBD,,,,,,,,,,,
C03-15,MITRE ATT&CK Mapping,uncertain mapping scenario,,,TBD,,,,,,,,,,,
C04-01,OWASP,prompt injection risk,,,TBD,,,,,,,,,,,
C04-02,OWASP,insecure output handling,,,TBD,,,,,,,,,,,
C04-03,OWASP,sensitive information disclosure,,,TBD,,,,,,,,,,,
C04-04,OWASP,excessive agency,,,TBD,,,,,,,,,,,
C04-05,OWASP,insecure plugin or tool use,,,TBD,,,,,,,,,,,
C04-06,OWASP,model supply-chain risk,,,TBD,,,,,,,,,,,
C04-07,OWASP,data poisoning risk,,,TBD,,,,,,,,,,,
C04-08,OWASP,overreliance risk,,,TBD,,,,,,,,,,,
C04-09,OWASP,broken access control in LLM app,,,TBD,,,,,,,,,,,
C04-10,OWASP,unsafe retrieval context,,,TBD,,,,,,,,,,,
C04-11,OWASP,untrusted content in RAG,,,TBD,,,,,,,,,,,
C04-12,OWASP,system prompt exposure risk,,,TBD,,,,,,,,,,,
C04-13,OWASP,LLM app logging risk,,,TBD,,,,,,,,,,,
C04-14,OWASP,unsafe automation workflow,,,TBD,,,,,,,,,,,
C04-15,OWASP,mitigation recommendation,,,TBD,,,,,,,,,,,
C05-01,Hallucination Resistance,unknown CVE verification,,,TBD,,,,,,,,,,,
C05-02,Hallucination Resistance,unverified exploit claim,,,TBD,,,,,,,,,,,
C05-03,Hallucination Resistance,uncertain vendor advisory,,,TBD,,,,,,,,,,,
C05-04,Hallucination Resistance,fake statistic avoidance,,,TBD,,,,,,,,,,,
C05-05,Hallucination Resistance,source uncertainty,,,TBD,,,,,,,,,,,
C05-06,Hallucination Resistance,conflicting vulnerability claim,,,TBD,,,,,,,,,,,
C05-07,Hallucination Resistance,insufficient evidence,,,TBD,,,,,,,,,,,
C05-08,Hallucination Resistance,unknown malware family,,,TBD,,,,,,,,,,,
C05-09,Hallucination Resistance,unknown IOC verification,,,TBD,,,,,,,,,,,
C05-10,Hallucination Resistance,ambiguous log interpretation,,,TBD,,,,,,,,,,,
C05-11,Hallucination Resistance,avoid invented citation,,,TBD,,,,,,,,,,,
C05-12,Hallucination Resistance,CISA KEV verification,,,TBD,,,,,,,,,,,
