id,category,input,output_json
SFT-KNOW-001,Cybersecurity Knowledge,Explain the purpose of the NIST Cybersecurity Framework in simple SOC terms.,"{""classification"": ""cybersecurity framework explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that it organizes risk management using functions such as govern, identify, protect, detect, respond, and recover."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity framework explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-002,Cybersecurity Knowledge,"What is the difference between a vulnerability, threat, and risk?","{""classification"": ""cybersecurity concept explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Define vulnerability as weakness, threat as potential actor/event, and risk as likelihood plus impact."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-003,Cybersecurity Knowledge,Explain what multi-factor authentication helps prevent.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""State that MFA reduces account takeover risk when passwords are stolen, while noting it is not perfect."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-004,Cybersecurity Knowledge,What does least privilege mean in access control?,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that users and systems should only have access necessary for their role."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-005,Cybersecurity Knowledge,Explain the difference between detection and response in incident handling.,"{""classification"": ""incident response concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Detection identifies suspicious activity; response coordinates containment, eradication, recovery, and lessons learned."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as incident response concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-006,Cybersecurity Knowledge,What is a false positive in security alerting?,"{""classification"": ""security operations concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that a false positive is an alert that appears malicious but is not actually a threat after investigation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-007,Cybersecurity Knowledge,What is credential stuffing?,"{""classification"": ""attack concept explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Valid Accounts / credential abuse"", ""recommended_action"": ""Explain that attackers try reused stolen username/password pairs across services and recommend MFA and monitoring."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-008,Cybersecurity Knowledge,What is lateral movement?,"{""classification"": ""attack concept explanation"", ""severity"": ""high"", ""mitre_mapping"": ""Lateral Movement tactic"", ""recommended_action"": ""Explain that an attacker moves from one system/account to others inside an environment after initial access."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-009,Cybersecurity Knowledge,Why is log retention important for incident response?,"{""classification"": ""security operations concept"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that retained logs allow analysts to reconstruct activity, scope compromise, and verify remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-010,Cybersecurity Knowledge,What is the purpose of CISA KEV?,"{""classification"": ""vulnerability intelligence explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that CISA KEV identifies vulnerabilities known to be exploited in the wild and can help prioritize remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as vulnerability intelligence explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
